molecule_chembl_id,canonical_smiles,type,standard_value,value
CHEMBL1079604,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,Inhibition,29.96,29.96
CHEMBL2165224,CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@@H](O)C2,Inhibition,21.72,21.72
CHEMBL1230488,CC1=N[C@H](C(=O)O)[C@@H](O)CN1,Inhibition,24.9,24.9
CHEMBL1683,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,Inhibition,38.63,38.63
CHEMBL1885632,CC(=O)Nc1ccc(CC(=O)O)cc1,Inhibition,22.96,22.96
CHEMBL227744,N=C(NCCC[C@H](N)C(=O)O)N[N+](=O)[O-],Inhibition,23.98,23.98
CHEMBL1021,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,Inhibition,8.62,8.62
CHEMBL243712,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,Inhibition,26.31,26.31
CHEMBL422648,Cc1oc(=O)oc1CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1,Inhibition,14.67,14.67
CHEMBL398435,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,Inhibition,34.26,34.26
CHEMBL1292,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,Inhibition,21.09,21.09
CHEMBL1236602,O=C(O)/C=C/c1c[nH]cn1,Inhibition,26.67,26.67
CHEMBL397976,O=C1CC[C@@H](C(=O)O)N1,Inhibition,18.63,18.63
CHEMBL165084,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](O)(C(=O)O)C[C@@H]1O,Inhibition,41.21,41.21
CHEMBL20883,O=c1[nH]c(=O)n(C2CCCO2)cc1F,Inhibition,21.54,21.54
CHEMBL36633,NC(=O)CN1CC(O)CC1=O,Inhibition,17.71,17.71
CHEMBL445740,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,Inhibition,9.89,9.89
CHEMBL240163,C[C@H]1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Inhibition,19.68,19.68
CHEMBL4303401,OCc1cncc(F)c1,Inhibition,28.37,28.37
CHEMBL1875805,CC(=O)NC(CC(C)C)C(=O)O,Inhibition,22.48,22.48
CHEMBL1436,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,Inhibition,3.14,3.14
CHEMBL4565475,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,Inhibition,7.93,7.93
CHEMBL58752,O=[N+]([O-])c1nccn1CC(O)CN1CCCCC1,Inhibition,41.54,41.54
CHEMBL267777,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Inhibition,25,25
CHEMBL10878,COc1ccc2cccc(CCNC(C)=O)c2c1,Inhibition,21.04,21.04
CHEMBL1773,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,Inhibition,-6.93,-6.93
CHEMBL577,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,Inhibition,28.52,28.52
CHEMBL4522182,Clc1ccc(CONC(=Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,Inhibition,18.2,18.2
CHEMBL1201284,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,Inhibition,18.38,18.38
CHEMBL1541,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,Inhibition,-61.64,-61.64
CHEMBL15511,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,Inhibition,37.52,37.52
CHEMBL33,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Inhibition,93.65,93.65
CHEMBL29292,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,Inhibition,20.76,20.76
CHEMBL25146,Nc1c(CC(=O)O)cccc1C(=O)c1ccccc1,Inhibition,20.37,20.37
CHEMBL292008,C=CCn1c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,Inhibition,27.55,27.55
CHEMBL274070,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,Inhibition,1.64,1.64
CHEMBL513172,Cn1cc(CC(N)C(=O)O)c2ccccc21,Inhibition,21.31,21.31
CHEMBL1519,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,Inhibition,17.42,17.42
CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Inhibition,35.62,35.62
CHEMBL149082,NCCCS(=O)(=O)O,Inhibition,42.11,42.11
CHEMBL442218,O=C1N[C@H](C(=O)O)CS1,Inhibition,19.71,19.71
CHEMBL1235017,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,Inhibition,24.21,24.21
CHEMBL251254,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Inhibition,46.57,46.57
CHEMBL336296,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,Inhibition,33.55,33.55
CHEMBL1231530,O=C(O)CCNC(=O)c1ccccc1,Inhibition,27.54,27.54
CHEMBL2111092,O=S(=O)(O)CCCS(=O)(=O)O,Inhibition,0.38,0.38
CHEMBL2107455,CS(=O)(=O)Nc1cc2occ(NC=O)c(=O)c2cc1Oc1ccccc1,Inhibition,-8.67,-8.67
CHEMBL1324,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,Inhibition,35.84,35.84
CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,Inhibition,103.13,103.13
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,Inhibition,34.11,34.11
CHEMBL3,CN1CCC[C@H]1c1cccnc1,Inhibition,22.06,22.06
CHEMBL235672,C=C[C@](C)(O)CCC=C(C)C,Inhibition,22.84,22.84
CHEMBL484,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,Inhibition,41.81,41.81
CHEMBL1330596,CC(N)(Cc1ccc(O)cc1)C(=O)O,Inhibition,24.81,24.81
CHEMBL442329,Nc1cccc2c(=O)[nH][nH]c(=O)c12,Inhibition,156.93,156.93
CHEMBL1437649,CC1C(=O)C(=O)C=CN1C,Inhibition,14.87,14.87
CHEMBL554563,Nc1ccn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)n1,Inhibition,25.82,25.82
CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,Inhibition,13.05,13.05
CHEMBL609,NCCNCCNCCN,Inhibition,38.12,38.12
CHEMBL1232077,N[C@H](C(=O)O)c1ccc(O)cc1,Inhibition,35.77,35.77
CHEMBL1234268,CSCC[C@@H](N)C(=O)O,Inhibition,29.79,29.79
CHEMBL17045,CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc21,Inhibition,21.14,21.14
CHEMBL175247,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,Inhibition,37.35,37.35
CHEMBL1658,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2C[C@H]3CC[C@@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,Inhibition,28.4,28.4
CHEMBL1533,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,Inhibition,26.28,26.28
CHEMBL460499,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,Inhibition,4.88,4.88
CHEMBL67654,CC(C)(C(=O)O)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,Inhibition,36.74,36.74
CHEMBL1096,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,Inhibition,96.1,96.1
CHEMBL4553748,CC(=O)O[C@]1(C(C)=O)CC[C@H]2C3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,Inhibition,30.7,30.7
CHEMBL679,CNC[C@H](O)c1ccc(O)c(O)c1,Inhibition,-34.41,-34.41
CHEMBL146980,CCOC(=O)CC(=O)N1CCSC1COc1ccccc1OC,Inhibition,35.33,35.33
CHEMBL1437764,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,Inhibition,32.01,32.01
CHEMBL118722,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,Inhibition,36.12,36.12
CHEMBL93077,O=C(C[S+]([O-])C(c1ccccc1)c1ccccc1)NO,Inhibition,28.46,28.46
CHEMBL508094,C[C@@H]([C@H](C)O)[C@H](N)C(=O)O,Inhibition,26.4,26.4
CHEMBL837,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,Inhibition,25.05,25.05
CHEMBL178459,Cc1c(-c2cnccn2)ssc1=S,Inhibition,101.63,101.63
CHEMBL91397,Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1,Inhibition,12.59,12.59
CHEMBL13178,COc1ccc(C(=O)c2c(C)n(CCN3CCOCC3)c3ccccc23)cc1,Inhibition,24.04,24.04
CHEMBL1377788,OC[C@H]1OC(O)C[C@@H](O)[C@@H]1O,Inhibition,25.76,25.76
CHEMBL457530,CN(C)C(=N)NCCC[C@H](N)C(=O)O,Inhibition,33.19,33.19
CHEMBL276832,NNc1nncc2ccccc12,Inhibition,14.82,14.82
CHEMBL1651906,CN(N=O)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,Inhibition,27.42,27.42
CHEMBL223360,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,Inhibition,-203.76,-203.76
CHEMBL27759,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,Inhibition,19.12,19.12
CHEMBL1118,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,Inhibition,6.62,6.62
CHEMBL159776,CC(C)N(CCNC(=O)CN1CCCC1=O)C(C)C,Inhibition,17.34,17.34
CHEMBL4563787,CCN(C(=O)C1C(=O)c2c(Cl)cccc2N(C)C1=O)c1ccccc1,Inhibition,19.97,19.97
CHEMBL367788,O=C(NO)c1ccc(O)c(O)c1,Inhibition,2.96,2.96
CHEMBL1753,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,Inhibition,28.3,28.3
CHEMBL242948,NCCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,Inhibition,29.53,29.53
CHEMBL766,CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O,Inhibition,18.14,18.14
CHEMBL198362,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,Inhibition,27.81,27.81
CHEMBL300138,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,Inhibition,23.37,23.37
CHEMBL575448,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,Inhibition,13.77,13.77
CHEMBL376359,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,Inhibition,11.53,11.53
CHEMBL1488165,O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1,Inhibition,24.3,24.3
CHEMBL198877,Oc1ccc([C@H]2COc3cc(O)ccc3C2)cc1,Inhibition,25.34,25.34
CHEMBL244403,CCCCCOc1ccc(C(=O)c2cccc3ccccc23)c2ccccc12,Inhibition,13.41,13.41
CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,Inhibition,-12.04,-12.04
CHEMBL314639,N#Cc1cc2c(OCC(O)CN3CCN(C(c4ccccc4)c4ccccc4)CC3)cccc2[nH]1,Inhibition,23.85,23.85
CHEMBL491571,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,Inhibition,-6.24,-6.24
CHEMBL355200,C#Cc1c[nH]c(=O)[nH]c1=O,Inhibition,27.89,27.89
CHEMBL1697754,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,Inhibition,23.6,23.6
CHEMBL299613,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,Inhibition,20.72,20.72
CHEMBL3039517,Cc1cnc(NC(=O)Nc2cc(Br)c(C)cc2OC[C@@H]2CNCCO2)cn1,Inhibition,-4.94,-4.94
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,Inhibition,10.05,10.05
CHEMBL175691,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,Inhibition,1.34,1.34
CHEMBL4303387,CC(=O)N1CCC(NC(=O)c2ccc(F)cc2)CC1,Inhibition,26.09,26.09
CHEMBL2107834,COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,Inhibition,27.08,27.08
CHEMBL4570132,CCOc1ccc(/C=C2/NCCc3cc(OCC)c(OCC)cc32)cc1OCC,Inhibition,3.98,3.98
CHEMBL1350,O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O,Inhibition,23.32,23.32
CHEMBL1077,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,Inhibition,35.28,35.28
CHEMBL2103851,S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1,Inhibition,29.59,29.59
CHEMBL245019,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1O,Inhibition,17.15,17.15
CHEMBL1577,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,Inhibition,16.77,16.77
CHEMBL344159,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,Inhibition,23.37,23.37
CHEMBL1179047,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,Inhibition,22.2,22.2
CHEMBL593019,Cc1ncc(CO)c(CN)c1O,Inhibition,37.34,37.34
CHEMBL56900,c1ccc(Cn2c(N3CCNCC3)nc3ccccc32)cc1,Inhibition,35.54,35.54
CHEMBL1076211,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,Inhibition,15.31,15.31
CHEMBL333133,c1ccc(Oc2cccnc2)cc1,Inhibition,32.4,32.4
CHEMBL607707,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,Inhibition,24.25,24.25
CHEMBL2105759,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,Inhibition,100.03,100.03
CHEMBL308954,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,Inhibition,14.6,14.6
CHEMBL225411,O=C(NCC1CCOCC1)c1cnc(Nc2ccc(Cl)cc2Cl)nc1C(F)(F)F,Inhibition,9.73,9.73
CHEMBL154111,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,Inhibition,23.15,23.15
CHEMBL37935,Cc1oc2nc3c(c(NC(=O)CN4CCCC4=O)c2c1C)CCCC3,Inhibition,36.37,36.37
CHEMBL495498,CC(C)Cc1sc(N)nc1-c1ccc(P(=O)(O)O)o1,Inhibition,-21.87,-21.87
CHEMBL4573312,CC(C)c1ccc2c(c1)C(N1CCN(CCO)CC1)Cc1ccc(F)cc1S2,Inhibition,20.75,20.75
CHEMBL4303395,CC1(C)[C@@H]2C[C@H]1[C@@](C)(O)[C@@H](O)C2,Inhibition,29.04,29.04
CHEMBL445813,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,Inhibition,19.26,19.26
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,Inhibition,-64.74,-64.74
CHEMBL1800955,COC(=O)N1CCN(Cc2cccc(NC(=O)Nc3ccc(C)nc3)c2F)CC1,Inhibition,11.74,11.74
CHEMBL565612,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,Inhibition,36.94,36.94
CHEMBL377725,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,Inhibition,15.21,15.21
CHEMBL361497,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,Inhibition,27.12,27.12
CHEMBL4303521,CC(=O)NCCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,Inhibition,36.65,36.65
CHEMBL152067,CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,Inhibition,27.27,27.27
CHEMBL4542250,CC(=O)SCCC(=O)N1[C@@H](C)CCC[C@H]1C(=O)O,Inhibition,11.54,11.54
CHEMBL2107381,CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,Inhibition,25.69,25.69
CHEMBL1138,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,Inhibition,14.81,14.81
CHEMBL3184512,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,Inhibition,20.99,20.99
CHEMBL2095212,Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,Inhibition,10.01,10.01
CHEMBL11662,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,Inhibition,26.77,26.77
CHEMBL256997,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,Inhibition,31.18,31.18
CHEMBL1441961,CC(C)=CCOc1ccc(/C=C/C(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1,Inhibition,23.22,23.22
CHEMBL307697,O=[N+]([O-])c1ccc(NN=C(c2ccc(O)cc2)c2ccc(O)cc2)c([N+](=O)[O-])c1,Inhibition,8.27,8.27
CHEMBL601,NCC(=O)CCC(=O)O,Inhibition,31.45,31.45
CHEMBL1329032,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,Inhibition,26.04,26.04
CHEMBL1237132,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,Inhibition,64.15,64.15
CHEMBL2216870,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,Inhibition,30.29,30.29
CHEMBL3545157,O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,Inhibition,101.64,101.64
CHEMBL477772,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,Inhibition,16.58,16.58
CHEMBL458875,Cc1cn([C@H]2O[C@@H](CO)[C@H](O)[C@H]2F)c(=O)[nH]c1=O,Inhibition,24.57,24.57
CHEMBL1200370,O=C(OOC(=O)c1ccccc1)c1ccccc1,Inhibition,30.68,30.68
CHEMBL1407844,c1ccc(OCc2ccc(CCCN3CCOCC3)cc2)cc1,Inhibition,28.25,28.25
CHEMBL1697827,CN1C2=CC(=O)/C(=N\NC(N)=O)C=C2CC1S(=O)(=O)O,Inhibition,32.54,32.54
CHEMBL283800,CN(CC(=O)O)C(=N)N,Inhibition,27.56,27.56
CHEMBL204860,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,Inhibition,35.82,35.82
CHEMBL142652,OC[C@H]1O[C@@H](Oc2cc(O)cc(/C=C/c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,Inhibition,20.51,20.51
CHEMBL310555,Oc1cccc2cccnc12,Inhibition,19.05,19.05
CHEMBL411,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,Inhibition,1.74,1.74
CHEMBL304383,CNCC(=O)O,Inhibition,31.14,31.14
CHEMBL1337,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],Inhibition,24.42,24.42
CHEMBL2104114,CN(CCOP(=O)(O)O)C(=N)N,Inhibition,30.77,30.77
CHEMBL257704,CN(C)CCO/N=C(/C=C/c1ccc(O)cc1)c1ccccc1F,Inhibition,27.04,27.04
CHEMBL118841,COc1ccc2c(c1)-c1nn(CCCN(C)C)c3ccc([N+](=O)[O-])c(c13)N2,Inhibition,12.26,12.26
CHEMBL542,Nc1ccc(C(=O)O)cc1,Inhibition,19.59,19.59
CHEMBL486193,CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,Inhibition,-42.04,-42.04
CHEMBL1469,O=C(O)CCCc1ccccc1,Inhibition,20.4,20.4
CHEMBL93233,CCNC(=O)/C=C/c1cccc(Br)c1,Inhibition,20.13,20.13
CHEMBL1201780,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,Inhibition,-4.06,-4.06
CHEMBL47,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,Inhibition,23.31,23.31
CHEMBL363449,CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,Inhibition,17.75,17.75
CHEMBL1291,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,Inhibition,32.33,32.33
CHEMBL259972,COc1ccc(-c2noc(CC(=O)O)c2-c2ccc(OC)cc2)cc1,Inhibition,23.27,23.27
CHEMBL1201146,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,Inhibition,17.53,17.53
CHEMBL379845,COC(=O)c1cccnc1,Inhibition,20.51,20.51
CHEMBL4303575,CC1(C)[C@H]2CC[C@]1(C)[C@@H](O)[C@H]2O,Inhibition,34.32,34.32
CHEMBL6466,O=c1ccc2ccccc2o1,Inhibition,23.55,23.55
CHEMBL190044,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,Inhibition,1.22,1.22
CHEMBL444814,NC(=O)NCCC[C@H](N)C(=O)O,Inhibition,30.93,30.93
CHEMBL66,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,Inhibition,-4.46,-4.46
CHEMBL4303336,COc1ccc2c(c1)c(CC(=O)OCC(C(=O)O)c1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,Inhibition,31.99,31.99
CHEMBL2103954,CCOc1c(N2CCOCC2)cnn(C)c1=O,Inhibition,35.88,35.88
CHEMBL281202,Cc1ccc(C(C)C)cc1O,Inhibition,21.29,21.29
CHEMBL230006,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,Inhibition,37.77,37.77
CHEMBL303697,Cc1nc(C)c(C)nc1C,Inhibition,32.16,32.16
CHEMBL54976,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,Inhibition,-0.98,-0.98
CHEMBL15770,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,Inhibition,-80.95,-80.95
CHEMBL324846,CCCCCCCC(=O)O,Inhibition,32.09,32.09
CHEMBL1400561,CCC(C(N)=O)N1CCCC1=O,Inhibition,40.78,40.78
CHEMBL420,N=C(N)N/N=C/c1c(Cl)cccc1Cl,Inhibition,39.18,39.18
CHEMBL2348292,O=C(O)CCc1cc(I)c(Oc2ccc(O)cc2)c(I)c1,Inhibition,45.76,45.76
CHEMBL404108,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,Inhibition,22.27,22.27
CHEMBL33864,O=C(O)CCCCC1CCSS1,Inhibition,24.81,24.81
CHEMBL1201010,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,Inhibition,25.56,25.56
CHEMBL424,O=C(O)c1ccccc1O,Inhibition,32.4,32.4
CHEMBL185885,O=Cc1ccc(CO)o1,Inhibition,3.34,3.34
CHEMBL3182951,CN1C(C(=O)Nc2ccccn2)C(=O)c2sc(Cl)cc2S1(=O)=O,Inhibition,34.48,34.48
CHEMBL260829,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,Inhibition,31.55,31.55
CHEMBL1236395,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Inhibition,37.86,37.86
CHEMBL4303366,COc1cc2nc(N3CCN(C(=O)C(C)OC)CC3)nc(N)c2cc1OC,Inhibition,91.75,91.75
CHEMBL1974890,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O,Inhibition,26.66,26.66
CHEMBL1566249,CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21,Inhibition,27.92,27.92
CHEMBL1238,O=C(O)CCCCCCCC(=O)O,Inhibition,23.33,23.33
CHEMBL477,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Inhibition,31.99,31.99
CHEMBL90,NCCc1c[nH]cn1,Inhibition,19.79,19.79
CHEMBL43185,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,Inhibition,16.44,16.44
CHEMBL2104153,CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,Inhibition,12.01,12.01
CHEMBL234432,N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O,Inhibition,31.98,31.98
CHEMBL286013,CCC(C)(C)C(=O)O,Inhibition,29.68,29.68
